row,repo_root,rel_path,ext,size_bytes,nnz
0,d:\CloudGuardAI\iac_subset,abatilo_grpc-timeout-repro/.github/workflows/ci.yml,.yml,1183,27
1,d:\CloudGuardAI\iac_subset,abatilo_grpc-timeout-repro/deployments/package-lock.json,.json,84674,37
2,d:\CloudGuardAI\iac_subset,abatilo_grpc-timeout-repro/deployments/package.json,.json,327,30
3,d:\CloudGuardAI\iac_subset,abatilo_grpc-timeout-repro/deployments/Pulumi.grpc-timeout-repro.yaml,.yaml,257,49
4,d:\CloudGuardAI\iac_subset,abatilo_grpc-timeout-repro/deployments/Pulumi.yaml,.yaml,141,29
5,d:\CloudGuardAI\iac_subset,abatilo_grpc-timeout-repro/deployments/tsconfig.json,.json,456,31
6,d:\CloudGuardAI\iac_subset,abvijaykumar_contactlist-blog-infra/package-lock.json,.json,89,35
7,d:\CloudGuardAI\iac_subset,abvijaykumar_contactlist-blog-infra/Pulumi.yaml,.yaml,137,27
8,d:\CloudGuardAI\iac_subset,abvijaykumar_contactlist-blog-infra/.vscode/settings.json,.json,148,31
9,d:\CloudGuardAI\iac_subset,ahmadalibagheri_cdktf-typescript-aws-ec2/cdktf.json,.json,306,27
10,d:\CloudGuardAI\iac_subset,ahmadalibagheri_cdktf-typescript-aws-ec2/package-lock.json,.json,315631,37
11,d:\CloudGuardAI\iac_subset,ahmadalibagheri_cdktf-typescript-aws-ec2/package.json,.json,800,30
12,d:\CloudGuardAI\iac_subset,ahmadalibagheri_cdktf-typescript-aws-ec2/tsconfig.json,.json,792,31
13,d:\CloudGuardAI\iac_subset,alexhwoods_super-pulumi/package-lock.json,.json,40848,33
14,d:\CloudGuardAI\iac_subset,alexhwoods_super-pulumi/package.json,.json,411,26
15,d:\CloudGuardAI\iac_subset,alexhwoods_super-pulumi/Pulumi.yaml,.yaml,87,24
16,d:\CloudGuardAI\iac_subset,alexhwoods_super-pulumi/tsconfig.json,.json,456,27
17,d:\CloudGuardAI\iac_subset,alexhwoods_super-pulumi/sub-a/package-lock.json,.json,37693,37
18,d:\CloudGuardAI\iac_subset,alexhwoods_super-pulumi/sub-a/package.json,.json,199,30
19,d:\CloudGuardAI\iac_subset,alexhwoods_super-pulumi/sub-a/Pulumi.yaml,.yaml,80,28
20,d:\CloudGuardAI\iac_subset,alexhwoods_super-pulumi/sub-a/tsconfig.json,.json,456,31
21,d:\CloudGuardAI\iac_subset,alexhwoods_super-pulumi/sub-b/package-lock.json,.json,37693,37
22,d:\CloudGuardAI\iac_subset,alexhwoods_super-pulumi/sub-b/package.json,.json,199,30
23,d:\CloudGuardAI\iac_subset,alexhwoods_super-pulumi/sub-b/Pulumi.yaml,.yaml,80,28
24,d:\CloudGuardAI\iac_subset,alexhwoods_super-pulumi/sub-b/tsconfig.json,.json,456,31
25,d:\CloudGuardAI\iac_subset,alfredoem_pulumi-js-aws-example/package.json,.json,206,31
26,d:\CloudGuardAI\iac_subset,alfredoem_pulumi-js-aws-example/infra/Pulumi.example.yaml,.yaml,198,40
27,d:\CloudGuardAI\iac_subset,alfredoem_pulumi-js-aws-example/infra/Pulumi.yaml,.yaml,79,31
28,d:\CloudGuardAI\iac_subset,AlfredoPardo-zz_python-for-devsecops/analyzing-processing-transforming/outputs/trivy_jenkins_2.60.3_results.json,.json,1378931,69
29,d:\CloudGuardAI\iac_subset,AlfredoPardo-zz_python-for-devsecops/centralizing-information/outputs/trivy_jenkins_2.60.3_results.json,.json,1378931,67
30,d:\CloudGuardAI\iac_subset,AlfredoPardo-zz_python-for-devsecops/feeding-and-consuming-apis/inputs/retire.json,.json,10815,39
31,d:\CloudGuardAI\iac_subset,AlfredoPardo-zz_python-for-devsecops/infrastructure-as-code/pulumi/azure-py-webserver-stack/Pulumi.azure-py-webserver.yaml,.yaml,237,63
32,d:\CloudGuardAI\iac_subset,AlfredoPardo-zz_python-for-devsecops/infrastructure-as-code/pulumi/azure-py-webserver-stack/Pulumi.yaml,.yaml,110,44
33,d:\CloudGuardAI\iac_subset,amkul99_pulumi-fargate/package.json,.json,198,26
34,d:\CloudGuardAI\iac_subset,amkul99_pulumi-fargate/Pulumi.yaml,.yaml,93,24
35,d:\CloudGuardAI\iac_subset,anandvimal_pulumi-examples/lambda trigger/Dockerfile,,79,23
36,d:\CloudGuardAI\iac_subset,anandvimal_pulumi-examples/lambda trigger/Pulumi.dev.yaml,.yaml,73,33
37,d:\CloudGuardAI\iac_subset,anandvimal_pulumi-examples/lambda trigger/Pulumi.yaml,.yaml,128,27
38,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/docker-compose.yml,.yml,734,34
39,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Assembler/appsettings.Development.json,.json,137,47
40,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Assembler/appsettings.json,.json,159,33
41,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Assembler/Properties/launchSettings.json,.json,222,38
42,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Buy/appsettings.Development.json,.json,168,47
43,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Buy/appsettings.json,.json,222,33
44,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Buy/Properties/launchSettings.json,.json,421,38
45,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Infra/Pulumi.main.yaml,.yaml,115,35
46,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Infra/Pulumi.yaml,.yaml,63,28
47,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Shipper/appsettings.Development.json,.json,137,47
48,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Shipper/appsettings.json,.json,159,33
49,d:\CloudGuardAI\iac_subset,andrekiba_CrazyBike/src/CrazyBike.Shipper/Properties/launchSettings.json,.json,220,38
